,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,lot_number,lot_name,sow_month,sow_year,cut_month,cut_year,variety,n_plants,planting_distance_streets_meters,planting_distance_grooves_meters,area_in_sq_meters
0,925.0,925.0,925.0,925.0,925.0,925.0,925.0,925.0,925.0,925.0,925.0,0.0,925.0,925.0,1,CEIBA 1,,,2,2019,CASTILLO,925.0,1.4,1.2,0.1554
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,900.0,900.0,900.0,900.0,2,CEIBA 3,6,2015,,,CASTILLO,900.0,1.4,1.2,0.1512
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,243.0,243.0,243.0,3,CEIBA 4,1,2016,,,TABI,243.0,3,3,0.2187
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3a,CEIBA 4a,7,2021,,,CENICAFE-1,1155.0,1.5,1.1,0.19057500000000002
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,CEDRAL,7,2021,,,CENICAFE-1,2025.0,1.5,1.1,0.33412500000000006
5,2487.0,2487.0,2487.0,2487.0,2487.0,2487.0,2487.0,2487.0,2487.0,2487.0,2487.0,0.0,2487.0,2487.0,5,ANACOS 1,,,2,2019,CASTILLO,2487.0,1.4,1.2,0.41781599999999997
6,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,0.0,680.0,680.0,680.0,6,ANACOS 2,,,2,2018,CASTILLO,680.0,1.4,1.2,0.11423999999999998
7,1130.0,1130.0,1130.0,1130.0,1130.0,1130.0,1130.0,1130.0,1130.0,1130.0,0.0,1130.0,1130.0,1130.0,7,LA HOYA,,,1,2018,CASTILLO,1130.0,1.4,1.2,0.18983999999999998
8,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,0.0,7a,LA HOYA,,,2,2021,CASTILLO,300.0,1.4,1.2,0.0504
9,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,0.0,1030.0,8,LAS PIEDRAS,,,2,2020,CASTILLO,1030.0,1.4,1.2,0.17304
10,906.0,906.0,906.0,906.0,906.0,906.0,906.0,0.0,906.0,906.0,906.0,906.0,906.0,906.0,9,ARRAYANES,,,5,2015,CASTILLO,906.0,1.4,1.2,0.15220799999999998
11,0.0,0.0,0.0,0.0,0.0,1488.0,1488.0,1488.0,1488.0,1488.0,1488.0,1488.0,1488.0,1488.0,10,SANCOCHO-1,8,2011,,,CASTILLO,1488.0,1.5,1,0.2232
12,3076.0,3076.0,3076.0,3076.0,3076.0,3076.0,3076.0,3076.0,3076.0,3076.0,3076.0,3076.0,0.0,3076.0,10a,SANCOCHO 1,,,2,2020,CASTILLO,3076.0,1.5,1,0.4614
13,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,0.0,10b,SANCOCHO 1,,,2,2021,CASTILLO,1136.0,1.5,1,0.1704
14,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,11,SANCOCHO-2,5,2012,,,CASTILLO,5000.0,1.5,1,0.75
