,year,tot_plants,total_production,prod_per_plant_kg,total_rain_cm,jan_rain_cm,feb_rain_cm,mar_rain_cm,apr_rain_cm,may_rain_cm,jun_rain_cm,jul_rain_cm,aug_rain_cm,sep_rain_cm,oct_rain_cm,nov_rain_cm,dec_rain_cm
0,2008,11670.0,1850.0,0.1585261353898886,1376.0,20.0,49.0,22.0,54.0,268.0,169.0,160.0,169.0,182.0,146.0,120.0,17.0
1,2009,11670.0,1401.25,0.12007283633247644,1413.0,44.0,85.0,262.0,191.0,55.0,138.0,62.0,205.0,50.0,115.0,151.0,55.0
2,2010,11670.0,1931.25,0.1654884318766067,1785.0,0.0,36.0,60.0,202.0,216.0,184.0,202.0,178.0,225.0,284.0,166.0,32.0
3,2011,11670.0,2378.75,0.20383461868037703,1652.0,3.0,51.0,208.0,307.0,200.0,126.0,146.0,133.0,129.0,140.0,142.0,67.0
4,2012,11670.0,875.0,0.07497857754927163,1678.0,15.0,9.0,301.0,261.0,147.0,151.0,130.0,174.0,142.0,252.0,80.0,16.0
5,2013,13158.0,2613.75,0.19864341085271317,1202.0,10.0,49.0,63.0,157.0,149.0,58.0,59.0,221.0,129.0,125.0,121.0,61.0
6,2014,18158.0,3190.0,0.17568014098468995,1202.0,4.0,17.0,46.0,149.0,185.0,91.0,103.0,175.0,98.0,201.0,107.0,26.0
7,2015,17252.0,3050.0,0.17679109668444237,1315.0,44.0,61.0,106.0,218.0,99.0,113.0,139.0,163.0,175.0,84.0,99.0,14.0
8,2016,18158.0,4441.25,0.24458916180196058,1260.0,21.0,110.0,25.0,153.0,279.0,87.0,142.0,86.0,80.0,139.0,101.0,37.0
9,2017,19058.0,5568.75,0.2922001259313674,1354.0,5.0,17.0,232.0,107.0,233.0,232.0,193.0,63.0,111.0,83.0,74.0,4.0
10,2018,17491.0,4493.75,0.2569178434623521,1550.0,107.0,5.0,130.0,192.0,240.0,206.0,189.0,144.0,138.0,165.0,32.0,2.0
11,2019,15889.0,7688.75,0.48390395871357544,1537.0,4.0,35.0,146.0,175.0,351.0,154.0,132.0,171.0,151.0,122.0,67.0,29.0
12,2020,15195.0,5426.25,0.3571076011846002,1475.0,20.0,2.0,67.0,59.0,183.0,193.0,198.0,133.0,122.0,177.0,316.0,5.0
13,2021,17865.0,5340.0,0.2989084802686818,1306.0,26.0,91.0,112.0,185.0,193.0,99.0,112.0,112.0,174.0,97.0,103.0,2.0
